,class,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population
2184,e,f,f,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2185,e,f,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2186,e,f,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2187,e,x,f,e,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2188,e,x,f,g,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2189,e,x,f,g,n,f,c,u,t,b,s,s,w,p,w,o,p,n,v
2190,e,x,f,n,n,f,c,u,t,b,s,s,w,p,w,o,p,k,v
2191,e,x,f,g,n,f,c,w,t,b,s,s,g,p,w,o,p,k,y
2192,e,x,s,g,n,f,w,k,t,e,s,s,w,p,w,o,e,n,s
2193,e,x,y,e,n,f,c,u,t,b,s,s,g,p,w,o,p,k,y
2194,e,f,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2195,e,x,y,e,n,f,c,n,t,b,s,s,w,p,w,o,p,n,v
2196,e,f,f,g,n,f,c,n,t,b,s,s,p,p,w,o,p,k,v
2197,e,x,f,g,n,f,c,u,t,b,s,s,p,p,w,o,p,k,y
2198,e,x,f,g,n,f,c,n,t,b,s,s,p,p,w,o,p,n,v
2199,e,f,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2200,e,x,s,w,n,f,w,p,t,e,s,f,w,p,w,o,e,n,a
2201,e,x,f,n,n,f,c,w,t,b,s,s,w,p,w,o,p,n,y
2202,e,f,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2203,e,f,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2204,e,x,y,g,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2205,e,x,f,e,n,f,c,u,t,b,s,s,w,p,w,o,p,n,v
2206,e,x,y,e,n,f,c,u,t,b,s,s,p,p,w,o,p,k,v
2207,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2208,e,f,y,g,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2209,e,x,y,g,n,f,c,w,t,b,s,s,p,p,w,o,p,n,v
2210,p,x,s,p,c,f,w,g,e,b,s,s,w,p,w,o,p,n,s
2211,e,x,y,n,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2212,e,f,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2213,e,x,y,e,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2214,e,f,f,n,n,f,c,p,t,b,s,s,w,p,w,o,p,n,v
2215,e,x,y,n,n,f,c,w,t,b,s,s,g,p,w,o,p,n,v
2216,e,x,f,g,n,f,c,w,t,b,s,s,w,p,w,o,p,n,y
2217,e,f,f,n,n,f,c,p,t,b,s,s,w,p,w,o,p,n,v
2218,e,x,y,n,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2219,e,x,y,n,n,f,c,w,t,b,s,s,w,p,w,o,p,k,v
2220,e,x,f,e,n,f,c,w,t,b,s,s,w,p,w,o,p,n,v
2221,e,f,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,k,v
2222,e,x,y,e,n,f,c,n,t,b,s,s,w,p,w,o,p,n,v
2223,e,x,y,e,n,f,c,u,t,b,s,s,g,p,w,o,p,n,v
2224,e,f,f,n,n,f,c,w,t,b,s,s,g,p,w,o,p,n,y
2225,e,x,f,e,n,f,c,p,t,b,s,s,p,p,w,o,p,k,v
2226,e,x,f,e,n,f,c,n,t,b,s,s,p,p,w,o,p,n,y
2227,e,x,f,w,n,f,w,k,t,e,f,f,w,p,w,o,e,n,s
2228,e,x,y,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2229,e,x,f,e,n,f,c,p,t,b,s,s,w,p,w,o,p,k,v
2230,e,x,y,g,n,f,c,p,t,b,s,s,w,p,w,o,p,n,v
2231,e,x,f,e,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2232,e,x,f,g,n,f,c,p,t,b,s,s,w,p,w,o,p,n,y
2233,e,f,y,e,n,f,c,p,t,b,s,s,g,p,w,o,p,n,v
2234,e,f,y,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2235,e,x,y,e,n,f,c,p,t,b,s,s,w,p,w,o,p,k,y
2236,e,x,y,g,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2237,e,f,f,g,n,f,w,h,t,e,s,f,w,p,w,o,e,k,s
2238,p,x,f,g,f,f,c,g,e,b,k,k,p,p,w,o,l,h,y
2239,e,x,f,e,n,f,c,p,t,b,s,s,w,p,w,o,p,k,y
2240,e,x,y,e,n,f,c,w,t,b,s,s,g,p,w,o,p,n,y
2241,p,f,s,w,p,f,c,w,e,e,s,s,w,p,w,o,p,k,v
2242,e,f,y,n,n,f,c,u,t,b,s,s,w,p,w,o,p,k,y
2243,e,x,f,e,n,f,c,n,t,b,s,s,w,p,w,o,p,n,y
2244,e,x,y,e,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2245,e,x,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2246,e,x,y,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2247,e,x,f,g,n,f,w,n,t,e,f,f,w,p,w,o,e,n,a
2248,e,x,f,n,n,f,c,u,t,b,s,s,w,p,w,o,p,n,y
2249,e,f,f,e,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2250,e,x,y,g,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2251,e,f,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2252,e,f,f,g,n,f,w,h,t,e,f,f,w,p,w,o,e,n,s
2253,e,f,f,g,n,f,c,p,t,b,s,s,w,p,w,o,p,n,v
2254,e,x,y,n,n,f,c,w,t,b,s,s,w,p,w,o,p,k,v
2255,e,f,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2256,e,f,y,n,n,f,c,u,t,b,s,s,w,p,w,o,p,n,y
2257,e,x,f,g,n,f,c,w,t,b,s,s,g,p,w,o,p,n,v
2258,e,x,y,e,n,f,c,u,t,b,s,s,w,p,w,o,p,n,v
2259,e,x,y,n,n,f,c,n,t,b,s,s,p,p,w,o,p,n,v
2260,e,f,s,g,n,f,w,n,t,e,f,s,w,p,w,o,e,n,a
2261,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2262,e,f,f,n,n,f,c,n,t,b,s,s,g,p,w,o,p,k,y
2263,e,x,y,e,n,f,c,w,t,b,s,s,p,p,w,o,p,n,y
2264,e,x,y,e,n,f,c,w,t,b,s,s,g,p,w,o,p,k,y
2265,e,x,y,n,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2266,e,f,s,w,n,f,w,h,t,e,s,f,w,p,w,o,e,k,a
2267,e,x,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,n,v
2268,e,x,y,e,n,f,c,p,t,b,s,s,w,p,w,o,p,k,y
2269,e,x,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,n,v
2270,e,f,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,n,v
2271,e,f,f,n,n,f,w,n,t,e,s,f,w,p,w,o,e,k,s
2272,e,f,f,g,n,f,c,n,t,b,s,s,p,p,w,o,p,k,v
2273,e,x,y,e,n,f,c,u,t,b,s,s,w,p,w,o,p,k,y
2274,e,f,f,g,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2275,e,x,y,n,n,f,c,u,t,b,s,s,p,p,w,o,p,n,y
2276,e,x,f,e,n,f,c,u,t,b,s,s,g,p,w,o,p,k,y
2277,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,n,y
2278,e,x,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,n,v
2279,e,f,f,g,n,f,c,w,t,b,s,s,w,p,w,o,p,n,v
2280,e,x,f,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2281,e,x,y,n,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2282,e,x,f,e,n,f,c,p,t,b,s,s,g,p,w,o,p,n,v
2283,e,f,f,g,n,f,c,n,t,b,s,s,g,p,w,o,p,k,y
2284,e,x,y,n,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2285,p,x,s,p,c,f,w,n,e,b,s,s,w,p,w,o,p,k,v
2286,e,f,y,g,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2287,e,f,f,n,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2288,p,f,s,n,p,f,c,p,e,e,s,s,w,p,w,o,p,k,s
2289,e,x,y,n,n,f,c,u,t,b,s,s,g,p,w,o,p,k,y
2290,e,x,y,g,n,f,c,u,t,b,s,s,g,p,w,o,p,k,y
2291,e,x,y,e,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2292,e,x,y,e,n,f,c,n,t,b,s,s,w,p,w,o,p,n,v
2293,e,x,y,e,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2294,e,x,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2295,e,f,s,w,n,f,w,n,t,e,s,s,w,p,w,o,e,k,s
2296,e,x,y,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2297,e,x,f,n,n,f,w,p,t,e,s,f,w,p,w,o,e,n,s
2298,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,n,y
2299,e,x,y,g,n,f,c,p,t,b,s,s,p,p,w,o,p,k,v
2300,e,x,y,e,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2301,e,x,y,n,n,f,c,u,t,b,s,s,p,p,w,o,p,k,v
2302,e,x,f,g,n,f,c,w,t,b,s,s,w,p,w,o,p,n,v
2303,e,x,f,g,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2304,e,x,y,g,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2305,e,x,y,g,n,f,c,n,t,b,s,s,p,p,w,o,p,n,y
2306,e,f,y,g,n,f,c,p,t,b,s,s,g,p,w,o,p,n,v
2307,e,x,f,e,n,f,c,p,t,b,s,s,w,p,w,o,p,k,v
2308,e,x,y,e,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2309,e,x,f,n,n,f,c,w,t,b,s,s,w,p,w,o,p,n,v
2310,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,n,y
2311,e,f,f,n,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2312,e,f,f,n,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2313,e,x,y,g,n,f,c,u,t,b,s,s,p,p,w,o,p,n,v
2314,e,x,f,e,n,f,c,w,t,b,s,s,g,p,w,o,p,k,y
2315,e,f,y,n,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2316,e,x,y,e,n,f,c,p,t,b,s,s,w,p,w,o,p,k,v
2317,e,f,y,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2318,e,x,y,g,n,f,c,p,t,b,s,s,w,p,w,o,p,k,y
2319,e,f,f,n,n,f,c,n,t,b,s,s,w,p,w,o,p,n,v
2320,e,x,y,g,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2321,e,x,y,e,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2322,e,x,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2323,e,x,f,g,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2324,e,x,f,e,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2325,e,x,f,n,n,f,c,u,t,b,s,s,p,p,w,o,p,k,v
2326,e,f,f,n,n,f,c,w,t,b,s,s,w,p,w,o,p,n,y
2327,e,f,y,g,n,f,c,u,t,b,s,s,p,p,w,o,p,n,v
2328,e,x,f,n,n,f,c,w,t,b,s,s,w,p,w,o,p,k,v
2329,e,x,y,e,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2330,e,f,f,n,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2331,e,x,y,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2332,e,f,f,n,n,f,c,n,t,b,s,s,p,p,w,o,p,k,y
2333,e,x,y,e,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2334,e,x,y,e,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2335,e,x,f,g,n,f,c,w,t,b,s,s,g,p,w,o,p,n,v
2336,e,x,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2337,e,f,f,e,n,f,c,u,t,b,s,s,p,p,w,o,p,n,v
2338,e,x,f,n,n,f,c,w,t,b,s,s,g,p,w,o,p,n,y
2339,e,x,y,e,n,f,c,n,t,b,s,s,p,p,w,o,p,n,y
2340,e,x,y,g,n,f,c,u,t,b,s,s,w,p,w,o,p,n,v
2341,e,x,y,g,n,f,c,u,t,b,s,s,p,p,w,o,p,k,y
2342,e,x,f,e,n,f,c,u,t,b,s,s,w,p,w,o,p,n,v
2343,e,f,f,n,n,f,c,w,t,b,s,s,w,p,w,o,p,n,v
2344,e,x,y,n,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2345,e,x,y,g,n,f,c,u,t,b,s,s,p,p,w,o,p,k,v
2346,e,x,f,w,n,f,w,h,t,e,s,f,w,p,w,o,e,n,s
2347,e,f,y,g,n,f,c,w,t,b,s,s,g,p,w,o,p,n,y
2348,e,f,s,g,n,f,w,n,t,e,f,f,w,p,w,o,e,n,s
2349,e,f,f,n,n,f,c,u,t,b,s,s,w,p,w,o,p,n,y
2350,e,x,y,e,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2351,p,f,y,w,p,f,c,w,e,e,s,s,w,p,w,o,p,n,s
2352,e,x,y,g,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2353,e,f,f,n,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2354,e,x,f,g,n,f,c,w,t,b,s,s,g,p,w,o,p,n,y
2355,e,x,f,e,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2356,e,f,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2357,e,x,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2358,e,x,y,e,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2359,e,x,y,n,n,f,c,n,t,b,s,s,g,p,w,o,p,n,v
2360,e,x,y,n,n,f,c,n,t,b,s,s,w,p,w,o,p,n,y
2361,e,f,f,n,n,f,c,p,t,b,s,s,w,p,w,o,p,k,y
2362,e,x,y,g,n,f,c,u,t,b,s,s,p,p,w,o,p,k,y
2363,e,x,y,n,n,f,c,n,t,b,s,s,p,p,w,o,p,k,y
2364,e,x,f,e,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2365,e,f,f,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2366,e,x,f,e,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2367,e,f,s,w,n,f,w,k,t,e,s,s,w,p,w,o,e,n,a
2368,e,x,y,n,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2369,e,x,f,g,n,f,c,w,t,b,s,s,g,p,w,o,p,k,y
2370,e,x,f,n,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2371,e,x,f,e,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2372,e,f,f,n,n,f,c,n,t,b,s,s,p,p,w,o,p,k,y
2373,e,x,f,n,n,f,c,u,t,b,s,s,p,p,w,o,p,n,v
2374,e,x,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2375,p,f,s,w,p,f,c,w,e,e,s,s,w,p,w,o,p,n,v
2376,e,x,f,g,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2377,e,f,s,w,n,f,w,k,t,e,s,s,w,p,w,o,e,k,s
2378,e,x,s,g,n,f,w,p,t,e,s,f,w,p,w,o,e,n,s
2379,e,x,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2380,e,f,f,n,n,f,c,n,t,b,s,s,g,p,w,o,p,k,y
2381,e,x,f,e,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2382,e,x,y,g,n,f,c,n,t,b,s,s,g,p,w,o,p,k,v
2383,e,f,f,n,n,f,c,u,t,b,s,s,g,p,w,o,p,k,y
2384,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,n,v
2385,p,x,f,g,f,f,c,h,e,b,k,k,n,p,w,o,l,h,y
2386,e,x,y,e,n,f,c,w,t,b,s,s,g,p,w,o,p,k,y
2387,e,x,f,n,n,f,w,h,t,e,s,s,w,p,w,o,e,k,a
2388,p,x,s,w,p,f,c,n,e,e,s,s,w,p,w,o,p,n,v
2389,e,x,y,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2390,e,f,f,n,n,f,c,n,t,b,s,s,w,p,w,o,p,n,v
2391,e,x,f,n,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2392,e,x,y,g,n,f,c,u,t,b,s,s,w,p,w,o,p,k,v
2393,e,x,y,g,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2394,e,f,f,n,n,f,c,u,t,b,s,s,p,p,w,o,p,n,v
2395,e,f,f,n,n,f,c,u,t,b,s,s,w,p,w,o,p,k,y
2396,e,x,f,g,n,f,c,u,t,b,s,s,g,p,w,o,p,k,v
2397,e,f,f,g,n,f,c,n,t,b,s,s,p,p,w,o,p,n,y
2398,e,x,y,e,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2399,e,x,f,e,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2400,p,x,s,w,p,f,c,n,e,e,s,s,w,p,w,o,p,k,v
2401,e,f,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2402,e,x,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,k,v
2403,e,f,y,e,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2404,e,f,y,g,n,f,c,p,t,b,s,s,p,p,w,o,p,k,v
2405,e,x,y,n,n,f,c,w,t,b,s,s,w,p,w,o,p,n,v
2406,e,x,y,e,n,f,c,w,t,b,s,s,w,p,w,o,p,n,y
2407,e,x,f,e,n,f,c,w,t,b,s,s,w,p,w,o,p,n,y
2408,e,x,y,e,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2409,e,f,f,g,n,f,c,n,t,b,s,s,g,p,w,o,p,n,y
2410,e,x,f,g,n,f,c,p,t,b,s,s,w,p,w,o,p,k,v
2411,e,f,f,n,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2412,e,x,y,n,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2413,e,x,y,g,n,f,c,n,t,b,s,s,p,p,w,o,p,k,v
2414,e,x,f,g,n,f,c,u,t,b,s,s,p,p,w,o,p,n,v
2415,e,x,y,n,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2416,e,f,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,n,v
2417,e,x,y,n,n,f,c,u,t,b,s,s,w,p,w,o,p,k,y
2418,e,x,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2419,e,f,f,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2420,e,x,f,n,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2421,e,x,f,n,n,f,c,p,t,b,s,s,w,p,w,o,p,n,v
2422,e,x,y,n,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2423,e,f,f,g,n,f,c,n,t,b,s,s,p,p,w,o,p,n,y
2424,e,x,f,e,n,f,c,u,t,b,s,s,w,p,w,o,p,n,y
2425,e,f,f,n,n,f,c,p,t,b,s,s,g,p,w,o,p,n,v
2426,p,x,s,p,c,f,c,g,e,b,s,s,w,p,w,o,p,k,v
2427,e,x,f,e,n,f,c,u,t,b,s,s,p,p,w,o,p,n,y
2428,e,f,f,n,n,f,c,w,t,b,s,s,g,p,w,o,p,k,y
2429,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2430,e,f,f,e,n,f,c,u,t,b,s,s,g,p,w,o,p,n,v
2431,e,x,y,e,n,f,c,n,t,b,s,s,g,p,w,o,p,k,y
2432,e,x,f,g,n,f,c,w,t,b,s,s,g,p,w,o,p,n,y
2433,e,x,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,n,y
2434,e,x,f,g,n,f,c,p,t,b,s,s,w,p,w,o,p,k,v
2435,e,x,f,g,n,f,c,u,t,b,s,s,g,p,w,o,p,n,y
2436,e,f,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2437,e,x,f,e,n,f,c,u,t,b,s,s,g,p,w,o,p,n,v
2438,e,f,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2439,e,f,y,e,n,f,c,u,t,b,s,s,w,p,w,o,p,k,v
2440,e,x,y,g,n,f,c,u,t,b,s,s,w,p,w,o,p,n,y
2441,e,x,y,g,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2442,e,x,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2443,p,x,f,g,f,f,c,h,e,b,k,k,b,p,w,o,l,h,y
2444,e,x,y,n,n,f,c,u,t,b,s,s,p,p,w,o,p,k,v
2445,e,x,y,e,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2446,e,x,f,n,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2447,e,f,f,n,n,f,c,p,t,b,s,s,w,p,w,o,p,n,y
2448,e,f,f,n,n,f,c,p,t,b,s,s,w,p,w,o,p,k,v
2449,e,f,f,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2450,e,f,f,g,n,f,c,p,t,b,s,s,w,p,w,o,p,n,y
2451,e,x,y,g,n,f,c,w,t,b,s,s,p,p,w,o,p,n,y
2452,e,x,f,g,n,f,w,k,t,e,s,f,w,p,w,o,e,n,a
2453,e,x,y,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2454,e,x,f,e,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2455,e,f,f,n,n,f,c,p,t,b,s,s,p,p,w,o,p,k,v
2456,e,x,y,e,n,f,c,n,t,b,s,s,w,p,w,o,p,n,y
2457,e,x,f,g,n,f,c,p,t,b,s,s,w,p,w,o,p,n,v
2458,e,x,f,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,y
2459,e,x,y,e,n,f,c,w,t,b,s,s,p,p,w,o,p,n,v
2460,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2461,e,f,f,g,n,f,c,p,t,b,s,s,w,p,w,o,p,k,y
2462,e,x,y,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,y
2463,e,x,y,g,n,f,c,u,t,b,s,s,p,p,w,o,p,k,v
2464,e,f,f,n,n,f,c,u,t,b,s,s,w,p,w,o,p,n,y
2465,e,x,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2466,e,f,f,n,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2467,e,x,y,e,n,f,c,p,t,b,s,s,w,p,w,o,p,k,v
2468,e,x,f,n,n,f,c,u,t,b,s,s,p,p,w,o,p,k,y
2469,e,x,y,g,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2470,e,f,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2471,e,x,f,g,n,f,c,p,t,b,s,s,g,p,w,o,p,n,v
2472,e,x,f,n,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2473,e,x,y,g,n,f,c,w,t,b,s,s,w,p,w,o,p,n,v
2474,e,x,y,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2475,e,x,y,e,n,f,c,n,t,b,s,s,p,p,w,o,p,n,v
2476,e,x,y,n,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2477,e,x,y,g,n,f,c,u,t,b,s,s,g,p,w,o,p,k,y
2478,p,f,y,n,p,f,c,k,e,e,s,s,w,p,w,o,p,k,s
2479,e,x,s,g,n,f,w,n,t,e,f,s,w,p,w,o,e,n,s
2480,e,x,f,g,n,f,c,u,t,b,s,s,p,p,w,o,p,k,v
2481,e,x,f,e,n,f,c,n,t,b,s,s,g,p,w,o,p,k,y
2482,p,x,s,p,c,f,w,u,e,b,s,s,w,p,w,o,p,n,s
2483,e,x,y,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2484,e,x,f,e,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2485,e,x,y,n,n,f,c,p,t,b,s,s,w,p,w,o,p,n,y
2486,e,x,y,e,n,f,c,u,t,b,s,s,g,p,w,o,p,k,v
2487,e,x,s,w,n,f,w,k,t,e,s,s,w,p,w,o,e,n,s
2488,e,f,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,v
2489,e,x,y,g,n,f,c,n,t,b,s,s,p,p,w,o,p,n,v
2490,e,x,y,g,n,f,c,n,t,b,s,s,p,p,w,o,p,n,v
2491,e,x,f,e,n,f,c,n,t,b,s,s,w,p,w,o,p,n,y
2492,e,x,y,g,n,f,c,n,t,b,s,s,w,p,w,o,p,k,v
2493,e,x,y,g,n,f,c,w,t,b,s,s,p,p,w,o,p,n,v
2494,e,x,f,e,n,f,c,p,t,b,s,s,p,p,w,o,p,k,y
2495,p,f,y,w,p,f,c,p,e,e,s,s,w,p,w,o,p,n,v
2496,e,f,f,n,n,f,c,u,t,b,s,s,w,p,w,o,p,n,y
2497,e,x,f,e,n,f,c,w,t,b,s,s,w,p,w,o,p,k,y
2498,e,x,f,e,n,f,c,n,t,b,s,s,p,p,w,o,p,n,v
2499,e,x,y,g,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2500,e,f,s,w,n,f,w,h,t,e,f,f,w,p,w,o,e,k,s
2501,e,x,f,n,n,f,w,k,t,e,f,s,w,p,w,o,e,n,a
2502,e,x,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,v
2503,e,f,f,n,n,f,c,n,t,b,s,s,g,p,w,o,p,n,v
2504,e,x,y,e,n,f,c,p,t,b,s,s,g,p,w,o,p,n,y
2505,e,x,y,e,n,f,c,u,t,b,s,s,p,p,w,o,p,n,y
2506,e,x,y,e,n,f,c,p,t,b,s,s,w,p,w,o,p,n,y
2507,e,f,f,n,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2508,e,x,f,g,n,f,c,w,t,b,s,s,w,p,w,o,p,k,v
2509,e,f,f,n,n,f,c,w,t,b,s,s,g,p,w,o,p,k,v
2510,e,f,f,e,n,f,c,n,t,b,s,s,p,p,w,o,p,n,y
2511,e,x,y,e,n,f,c,w,t,b,s,s,p,p,w,o,p,n,v
2512,p,x,s,w,c,f,w,p,e,b,s,s,w,p,w,o,p,n,s
2513,e,f,f,n,n,f,c,u,t,b,s,s,p,p,w,o,p,k,y
2514,e,f,f,g,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
2515,e,f,f,n,n,f,c,u,t,b,s,s,w,p,w,o,p,k,v
2516,e,x,y,n,n,f,c,p,t,b,s,s,g,p,w,o,p,k,v
2517,e,x,f,e,n,f,c,w,t,b,s,s,p,p,w,o,p,k,y
2518,e,f,s,w,n,f,w,n,t,e,f,s,w,p,w,o,e,n,s
2519,e,x,y,g,n,f,c,u,t,b,s,s,p,p,w,o,p,n,y
2520,e,x,f,e,n,f,c,p,t,b,s,s,p,p,w,o,p,k,v
2521,e,f,f,n,n,f,c,n,t,b,s,s,g,p,w,o,p,n,v
